,SLIDE_TYPE,M_WIDTH,S_LENGTH,SLOPE,COVER,YEAR_1,HEADELEV,TAILELEV,ELE_DIFF,GULLY,CLASS,curv_plan,curv_prof,aspect,curv,ID,history
75033,R,5.0,8.5,9999.0,C,1963,9999.0,9999.0,9999.0,N,A2,0.506186,-0.329266,354.032,0.835452,75033,59
73168,R,14.0,8.0,28.5,D,1963,304.0,299.0,5.0,N,B1,-0.170503,0.148935,257.8,-0.319438,73168,59
52182,C,10.0,8.5,35.0,A,1982,303.0,280.0,23.0,Y,-,-0.153782,-0.12921,270.507,-0.0245721,52182,40
103306,R,10.5,9.0,41.0,C,1964,100.0,95.0,5.0,N,B1,-0.0156884,0.193175,42.8389,-0.208863,103306,58
61495,R,7.0,11.5,33.5,C,1963,49.0,41.0,8.0,N,C1,-0.0641213,0.218458,97.9575,-0.282579,61495,59
34699,R,22.0,17.5,42.0,D,1963,150.0,132.0,18.0,N,B2,-0.135419,0.0734436,-9999.0,-0.208863,34699,59
92995,R,4.5,8.0,49.5,C,1963,328.0,321.0,7.0,N,A2,0.0836097,-0.358688,274.686,0.442298,92995,59
88994,R,11.0,11.0,31.5,C,1963,239.0,231.0,8.0,N,B1,-0.243926,0.161514,341.354,-0.40544,88994,59
41803,R,8.0,6.5,46.5,C,1963,384.0,373.0,11.0,N,B2,0.225857,0.02928,241.587,0.196577,41803,59
51828,R,25.0,11.0,32.5,C,1963,215.0,207.0,8.0,N,C2,-0.123821,0.0358975,150.63,-0.159719,51828,59
106946,R,11.0,19.5,24.5,C,1964,221.0,210.0,11.0,N,A2,0.182441,-0.0387078,117.759,0.221149,106946,58
67723,O,9.5,9.0,14.5,A,1969,78.0,75.0,3.0,N,-,-0.520001,0.241735,-9999.0,-0.761736,67723,53
55746,R,14.0,6.5,38.5,D,1963,209.0,203.0,6.0,N,C2,0.393154,-0.0368582,61.0259,0.430012,55746,59
46743,R,13.0,9.5,31.0,C,1963,38.0,9999.0,9999.0,N,B1,-0.12097,0.0387483,142.595,-0.159719,46743,59
44816,R,23.0,10.5,49.0,C,1963,126.0,116.0,10.0,N,A2,-0.195117,0.161178,63.5278,-0.356296,44816,59
16512,R,7.0,6.5,33.5,B,1963,9.0,5.0,4.0,N,S,-0.0448209,0.0657537,175.387,-0.110575,16512,59
28122,O,6.5,5.5,42.5,B,2008,27.0,15.0,12.0,N,-,0.638875,0.0860024,344.233,0.552873,28122,14
49540,O,10.0,10.0,27.0,A,1983,252.0,241.0,11.0,N,-,-0.335028,-0.0647348,246.801,-0.270293,49540,39
7941,O,11.0,10.0,24.0,A,2008,206.0,196.0,10.0,N,-,0.205818,-0.0153311,356.285,0.221149,7941,14
91488,R,15.0,10.0,36.0,C,1963,227.0,218.0,9.0,N,C1,0.0777708,-0.069662,151.213,0.147433,91488,59
52909,R,12.0,6.5,41.5,C,1963,342.0,337.0,5.0,N,B1,-0.0979546,0.0863362,303.212,-0.184291,52909,59
79003,R,9.5,8.0,40.5,C,1963,715.0,706.0,9.0,N,A2,0.136949,0.00180276,167.619,0.135147,79003,59
630,R,24.0,8.5,30.0,C,1963,120.0,114.0,6.0,N,C2,-0.0161496,0.00842251,7.52382,-0.0245721,630,59
1289,R,13.0,8.0,37.5,C,1963,337.0,332.0,5.0,N,A2,-0.202773,0.0920923,320.816,-0.294865,1289,59
96411,O,3.5,3.5,45.5,A,1993,147.0,140.0,7.0,N,-,0.0645018,0.0890739,207.838,-0.0245721,96411,29
108675,R,9.5,9.5,37.0,C,1963,342.0,333.0,9.0,N,C1,-0.119853,-0.156712,65.9134,0.0368582,108675,59
82411,R,5.5,10.0,38.0,C,1963,476.0,468.0,8.0,N,A2,-0.140006,0.0934289,143.881,-0.233435,82411,59
45618,R,14.0,5.5,33.0,C,1963,223.0,218.0,5.0,N,B1,0.0101628,0.317314,259.762,-0.307151,45618,59
6257,R,10.0,8.5,45.5,D,1963,266.0,259.0,7.0,N,B2,-0.331997,0.171731,334.179,-0.503728,6257,59
15364,R,20.0,8.0,39.5,C,1963,292.0,286.0,6.0,N,C2,-0.410084,0.00764182,128.234,-0.417726,15364,59
80553,R,20.0,13.5,42.0,C,1963,462.0,454.0,8.0,N,C2,0.0907278,-0.00756065,335.556,0.0982885,80553,59
94844,R,7.0,8.5,37.0,C,1963,17.0,10.0,7.0,N,S,0.0,0.0,2.65888,0.0,94844,59
106750,R,10.0,11.5,29.0,C,1964,85.0,77.0,8.0,N,B1,-0.150551,0.242603,246.468,-0.393154,106750,58
26841,R,13.0,8.5,34.0,C,1963,167.0,162.0,5.0,N,B2,0.337605,-0.0801211,223.356,0.417726,26841,59
94483,R,7.5,5.0,55.5,C,1963,219.0,210.0,9.0,N,B2,0.134778,-0.0617989,161.565,0.196577,94483,59
21321,R,8.0,4.0,55.5,C,1963,234.0,229.0,5.0,N,B1,-0.823792,0.281953,183.056,-1.10575,21321,59
42193,R,13.0,13.0,40.5,C,1963,144.0,133.0,11.0,Y,A2,0.127775,-0.0442298,184.8,0.172005,42193,59
72978,R,13.0,6.5,56.5,C,1963,261.0,255.0,6.0,N,B2,-0.121515,0.00134594,146.768,-0.122861,72978,59
105496,R,7.5,16.5,39.5,D,1964,72.0,61.0,11.0,N,A2,-0.0611985,0.233667,221.716,-0.294865,105496,58
59833,R,6.5,7.0,53.0,C,1963,211.0,204.0,7.0,N,A2,-0.384537,-0.151102,162.665,-0.233435,59833,59
37328,R,17.0,11.0,29.0,C,1963,108.0,102.0,6.0,N,B1,-0.0495135,0.331354,269.718,-0.380868,37328,59
90364,R,6.5,7.0,46.5,C,1963,170.0,165.0,5.0,N,C1,0.21452,-0.0803454,51.1939,0.294865,90364,59
47131,R,16.0,10.0,36.5,C,1963,127.0,122.0,5.0,N,A2,-0.288873,0.251714,286.113,-0.540587,47131,59
50651,R,11.0,5.5,38.5,C,1963,195.0,188.0,7.0,N,B1,0.214508,-0.16636,225.591,0.380868,50651,59
73004,R,17.0,9.5,41.0,D,1963,316.0,308.0,8.0,N,A2,-0.556876,0.364579,298.74,-0.921454,73004,59
86201,R,14.0,14.0,36.0,C,1963,326.0,316.0,10.0,N,C1,0.294802,-0.122924,-9999.0,0.417726,86201,59
77148,R,9.0,12.0,43.5,C,1963,257.0,245.0,12.0,N,A2,0.263876,0.0918708,275.892,0.172005,77148,59
20248,R,5.0,4.5,36.0,C,1963,155.0,153.0,2.0,N,B1,0.0182123,0.116501,257.347,-0.0982885,20248,59
59114,R,7.5,12.0,36.0,C,1963,231.0,223.0,8.0,N,A2,-0.0341612,0.0886994,125.987,-0.122861,59114,59
108669,R,8.0,10.0,38.5,C,1963,283.0,276.0,7.0,N,B1,-0.178568,0.190014,-9999.0,-0.368582,108669,59
84061,O,8.0,9.0,40.0,B,2014,389.0,384.0,5.0,N,-,-0.282061,0.000518519,307.999,-0.282579,84061,8
87295,R,8.5,5.5,50.5,C,1963,239.0,236.0,3.0,N,B1,-0.359241,0.181346,-9999.0,-0.540587,87295,59
22568,R,10.0,6.0,45.5,C,1963,215.0,211.0,4.0,N,A2,0.296727,-0.182429,2.8624,0.479156,22568,59
3316,R,15.0,8.5,51.5,C,1963,426.0,417.0,9.0,N,A2,0.111876,0.0258733,80.2529,0.0860024,3316,59
71447,R,14.0,8.5,33.0,C,1963,244.0,238.0,6.0,N,B1,-0.0831379,0.0397227,355.143,-0.122861,71447,59
77615,R,5.5,7.0,29.5,C,1963,441.0,424.0,17.0,N,A1,0.694016,-0.768026,223.977,1.46204,77615,59
76672,R,7.5,7.5,27.0,C,1963,233.0,229.0,4.0,N,C1,0.034401,0.0958313,251.182,-0.0614303,76672,59
107467,R,13.0,9.5,39.5,D,1963,202.0,195.0,7.0,N,B1,-0.409786,0.425666,218.182,-0.835452,107467,59
44068,R,11.0,7.0,45.5,D,1963,122.0,116.0,6.0,N,C2,0.143678,-0.17576,97.8465,0.319438,44068,59
15522,R,30.0,6.5,43.0,D,1963,31.0,25.0,6.0,N,C2,-0.155697,0.0163075,167.735,-0.172005,15522,59
16571,R,19.0,12.0,31.0,C,1963,55.0,50.0,5.0,N,B1,0.053785,0.041499,151.891,0.0122861,16571,59
84759,R,12.0,7.5,37.5,C,1963,325.0,320.0,5.0,N,B2,0.259992,0.0265571,230.08,0.233435,84759,59
3444,R,24.0,9.0,45.0,C,1963,280.0,273.0,7.0,N,C2,0.470819,-0.0451959,203.199,0.516015,3444,59
13566,R,27.0,27.0,38.5,C,1963,116.0,105.0,11.0,N,B1,0.00738179,0.240817,266.634,-0.233435,13566,59
63610,R,12.0,11.0,28.5,C,1963,223.0,217.0,6.0,N,A2,-0.00768816,-0.0322603,246.557,0.0245721,63610,59
97592,C,17.0,15.0,48.0,A,2014,82.0,38.0,44.0,N,-,0.250315,-0.130553,-9999.0,0.380868,97592,8
92737,R,10.0,12.0,49.5,C,1963,157.0,147.0,10.0,N,B1,-0.318488,0.136097,44.4915,-0.454584,92737,59
13514,R,11.0,16.5,33.5,C,1963,147.0,135.0,12.0,N,C1,0.271383,-0.134057,112.187,0.40544,13514,59
96987,R,7.5,8.5,9999.0,C,1963,9999.0,9999.0,9999.0,N,C1,0.10136,0.10136,92.8784,0.0,96987,59
87273,R,12.0,7.5,46.5,C,1963,232.0,224.0,8.0,N,B1,-0.215666,0.128344,-9999.0,-0.34401,87273,59
54596,C,7.5,7.0,40.5,A,1982,156.0,123.0,33.0,N,-,-0.354179,0.124977,142.306,-0.479156,54596,40
20249,R,5.0,3.0,29.5,C,1963,148.0,145.0,3.0,N,A2,0.0345608,-0.0145834,257.347,0.0491442,20249,59
90210,R,8.5,10.5,46.5,C,1963,247.0,240.0,7.0,N,A2,-0.0142111,0.145508,314.256,-0.159719,90210,59
52636,R,19.0,11.0,33.0,C,1963,53.0,46.0,7.0,Y,C2,0.0153576,0.211935,335.695,-0.196577,52636,59
49529,C,4.0,6.0,28.5,A,1982,160.0,135.0,25.0,Y,-,-0.0166049,0.00796724,122.209,-0.0245721,49529,40
54907,O,5.5,5.0,24.0,A,2002,82.0,66.0,16.0,N,-,0.0182277,0.0673719,140.315,-0.0491442,54907,20
3357,R,20.0,9.0,35.0,C,1963,367.0,358.0,9.0,N,C2,-0.0227551,0.0878194,303.232,-0.110575,3357,59
80649,R,8.5,10.0,42.0,D,1963,355.0,349.0,6.0,N,C1,0.659651,-0.298661,313.919,0.958313,80649,59
19270,O,7.0,3.5,41.0,A,2008,379.0,368.0,11.0,N,-,0.353456,0.169165,163.926,0.184291,19270,14
62291,R,6.5,4.0,63.5,C,1963,398.0,390.0,8.0,N,B2,0.183476,0.0851872,281.753,0.0982885,62291,59
33085,R,8.0,7.0,14.5,C,1963,13.0,11.0,2.0,N,S,0.031519,0.240382,331.905,-0.208863,33085,59
439,R,24.0,12.5,48.5,C,1963,391.0,378.0,13.0,N,A2,0.0954015,-0.015173,16.6992,0.110575,439,59
