ID,SLIDE_TYPE,history,predict
1387,R,59,2
1388,R,59,1
1389,R,59,2
1390,R,59,2
1391,R,59,2
1392,R,59,2
1393,R,59,2
1394,R,59,2
1395,R,59,2
1396,R,59,2
1397,R,59,1
1398,R,59,2
1399,R,59,2
1400,R,59,2
1401,R,59,2
1402,R,59,2
1403,R,59,2
1404,R,59,2
1405,R,59,2
1406,R,59,2
1407,R,59,2
1408,R,59,1
1409,R,59,1
1410,R,59,1
1411,R,59,2
1412,R,59,2
1413,R,59,2
1414,R,59,1
1415,R,59,2
1416,R,59,2
1417,R,59,1
1418,R,59,2
1419,R,59,1
1420,R,59,1
1421,R,59,2
1422,R,59,2
1423,R,59,2
1424,R,59,2
1425,R,59,1
1426,R,59,2
1427,R,59,2
1428,R,59,2
1429,R,59,2
1430,R,59,2
1431,R,59,1
1432,R,59,2
1433,R,59,2
1434,R,59,2
1435,R,59,1
1436,R,59,2
1437,R,59,2
1438,R,59,2
1439,R,59,2
1440,R,59,2
1441,R,59,2
1442,R,59,2
1443,R,59,2
1444,R,59,1
1445,R,59,2
1446,R,59,2
1447,R,59,2
1448,R,59,1
1449,R,59,1
1450,R,59,2
1451,R,59,1
1452,R,59,2
1453,R,59,2
1454,R,59,1
1455,R,59,2
1456,R,59,2
1457,R,59,2
1458,R,59,2
1459,R,59,2
1460,R,59,2
1461,R,59,3
1462,R,59,2
1463,R,59,2
1464,R,59,2
1465,R,59,1
1466,R,59,2
1467,R,59,1
1468,R,59,2
1469,R,59,1
1470,R,59,2
1471,R,59,2
1472,R,59,2
1473,R,59,2
1474,R,59,1
1475,R,59,1
1476,R,59,2
1477,R,59,2
1478,R,59,2
1479,R,59,1
1480,R,59,2
1481,R,59,2
1482,R,59,2
1483,R,59,2
1484,R,59,2
1485,R,59,2
1486,R,59,2
1487,R,59,1
1488,R,59,1
1489,R,59,1
1490,R,59,1
1491,R,59,2
1492,R,59,2
1493,R,59,2
1494,R,59,2
1495,R,59,2
1496,R,59,2
1497,R,59,2
1498,R,59,2
1499,R,59,2
1500,R,59,1
1501,R,59,1
1502,R,59,1
1503,R,59,1
1504,R,59,2
1505,R,59,1
1506,R,59,1
1507,R,59,1
1508,R,59,2
1509,R,59,2
1510,R,59,2
1511,R,59,2
1512,R,59,2
1513,R,59,2
1514,R,59,2
1515,R,59,1
1516,R,59,1
1517,R,59,2
1518,R,59,2
1519,R,59,1
1520,R,59,1
1521,R,59,2
1522,R,59,2
1523,R,59,2
1524,R,59,1
1525,R,59,2
1526,R,59,2
1527,R,59,2
1528,R,59,2
1529,R,59,2
1530,R,59,2
1531,R,59,1
1532,R,59,1
1533,R,59,2
1534,R,59,1
1535,R,59,2
1536,R,59,1
1537,R,59,2
1538,R,59,1
1539,R,59,1
1540,R,59,1
1541,R,59,1
1542,R,59,1
1543,R,59,1
1544,R,59,1
1545,R,59,2
1546,R,59,1
1547,R,59,1
1548,R,59,1
1549,R,59,1
1550,R,59,2
1551,R,59,2
1552,R,59,2
1553,R,59,2
1554,R,59,2
1555,R,59,2
1556,R,59,2
1557,R,59,1
1558,R,59,2
1559,R,59,2
1560,R,59,1
1561,R,59,2
1562,R,59,2
1563,R,59,1
1564,R,59,1
1565,R,59,2
1566,R,59,2
1567,R,59,1
1568,R,59,2
1569,R,59,2
1570,R,59,2
1571,R,59,2
1572,R,59,1
1573,R,59,2
1574,R,59,2
1575,R,59,1
1576,R,59,2
1577,R,59,2
1578,R,59,2
1579,R,59,2
1580,R,59,2
1581,R,59,2
1582,R,59,1
1583,R,59,2
1584,R,59,2
1585,R,59,2
1586,R,59,1
1587,R,59,1
1588,R,59,2
1589,R,59,2
1590,R,59,2
1591,R,59,1
1592,R,59,1
1593,R,59,1
1594,R,59,2
1595,R,59,1
1596,R,59,2
1597,R,59,1
1598,R,59,1
1599,R,59,1
1600,R,59,1
1601,R,59,2
1602,R,59,2
1603,R,59,1
1604,R,59,1
1605,R,59,1
1606,R,59,2
1607,R,59,2
1608,R,59,2
1609,R,59,1
1610,R,59,2
1611,R,59,2
1612,R,59,1
1613,R,59,1
1614,R,59,2
1615,R,59,2
1616,R,59,1
1617,R,59,1
1618,R,59,1
1619,R,59,1
1620,R,59,1
1621,R,59,2
1622,R,59,2
1623,R,59,2
1624,R,59,2
1625,R,59,2
1626,R,59,2
1627,R,59,2
1628,R,59,2
1629,R,59,2
1630,R,59,2
1631,R,59,2
1632,R,59,2
1633,R,59,1
1634,R,59,2
1635,R,59,2
1636,R,59,1
1637,R,59,1
1638,R,59,2
1639,R,59,2
1640,R,59,2
1641,R,59,1
1642,R,59,2
1643,R,59,2
1644,R,59,1
1645,R,59,1
1646,R,59,2
1647,R,59,2
1648,R,59,2
1649,R,59,2
1650,R,59,2
1651,R,59,2
1652,R,59,2
1653,R,59,2
1654,R,59,2
1655,R,59,2
1656,R,59,2
1657,R,59,2
1658,R,59,2
1659,R,59,2
1660,R,59,1
1661,R,59,2
1662,R,59,2
1663,R,59,2
1664,R,59,2
1665,R,59,1
1666,R,59,1
1667,R,59,1
1668,R,59,2
1669,R,59,2
1670,R,59,2
1671,R,59,2
1672,R,59,2
1673,R,59,2
1674,R,59,1
1675,R,59,1
1676,R,59,2
1677,R,59,2
1678,R,59,1
1679,R,59,1
1680,R,59,2
1681,R,59,1
1682,R,59,2
1683,R,59,1
1684,R,59,2
1685,R,59,2
1686,R,59,2
1687,R,59,2
1688,R,59,1
1689,R,59,2
1690,R,59,2
1691,R,59,2
1692,R,59,2
1693,R,59,2
1694,R,59,2
1695,R,59,2
1696,R,59,1
1697,R,59,1
1698,R,59,2
1699,R,59,1
1700,R,59,2
1701,R,59,2
1702,R,59,2
1703,R,59,2
1704,R,59,2
1705,R,59,2
